,Name,Type,Cost,Color,Rarity,Quality,Price,Set,Description
142,Inventors' Fair,Legendary Land,0,,R,NM,16.99,Kaladesh,"At the beginning of your upkeep, if you control three or more artifacts, you gain 1 life.{T}: Add {C} to your mana pool.{4},{T}, Sacrifice Inventors' Fair. Search your library for an artifact card, reveal it, put it into your hand, then shuffle your library. Activate this ability only if you control three or more artifacts."
143,Reaver Titan,10/10 Artifact - Vehicle,7,,R,NM,9.99,"Universes Beyond: Warhammer 40,000"," - Protection from mana value 3 or less - Whenever Reaver Titan attacks, it deals 5 damage to each opponent.Crew 4 "
144,Anointed Procession,Enchantment,4,W,R,NM,37.99,Mystery Booster/The List,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead."
145,Earthcraft,Enchantment,2,G,R,EX,116.99,Tempest,Tap an untapped creature you control: Untap target basic land.
146,Worldly Tutor,Instant,1,G,U,NM,27.99,Mirage,"Search your library for a creature card and reveal that card. Shuffle your library, then put the revealed card back on top of it."
147,Imperial Seal (Borderless),Sorcery,1,B,M,NM,94.99,Double Masters 2022 Variants,"Search your library for a card, then shuffle and put that card on top. You lose 2 life."
148,Steam Vents,Land - Island Mountain,0,,R,NM,18.99,Guilds of Ravnica,"As Steam Vents enters the battlefield, you may pay 2 life. If you don't, it enter the battlefield tapped."
149,Arid Mesa,Land,0,,R,NM,16.99,Modern Horizons 2,"{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle."
150,Liliana of the Veil,Legendary Planeswalker - Liliana,3,BB,M,NM,23.99,Dominaria United,[+1]: Each player discards a card.[-2]: Target player sacrifices a creature.[-6]: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.|3|
151,Vanquisher's Banner,Artifact,5,,R,NM,18.99,Ixalan,"As Vanquisher's Banner enters the battlefield, choose a creature type.Creatures you control of the chosen type get +1/+1.Whenever you cast a creature spell of the chosen type, draw a card."
152,Esper Sentinel (Showcase),1/1 Artifact Creature - Human Soldier,1,W,R,NM,32.99,Modern Horizons 2 Variants,"Whenever an opponent casts their first noncreature spell each turn, draw a card unless that player pays {X}, where X is Esper Sentinel's power."
153,Blightsteel Colossus,11/11 Artifact Creature - Phyrexian Golem,12,,M,EX,67.99,Mirrodin Besieged,"Trample, infectBlightsteel Colossus is indestructible.If Blightsteel Colossus would be put into a graveyard from anywhere, reveal Blightsteel Colossus and shuffle it into its owner's library instead."
154,Steam Vents (Borderless), Land - Island Mountain,0,,R,EX,50.99,Unfinity Variants,"As Steam Vents enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
155,Shadowspear,Legendary Artifact - Equipment,1,,R,NM,23.99,Theros Beyond Death,Equipped creature gets +1/+1 and has trample and lifelink.{1}: Permanents your opponents control lose hexproof and indestructible until end of turn.Equip {2}
156,"Myrel, Shield of Argive",3/4 Legendary Creature - Human Soldier,4,W,M,NM,20.99,The Brothers' War,"During your turn, your opponents can't cast spells or activate abilities of artifacts, creatures, or enchantment.Whenever Myrel, Shield of Argive attacks, create X 1/1 colorless Soldier artifact creature tokens, where X is the number of Soldiers you control."
157,Ancient Tomb,Land,0,,R,NM,69.99,Ultimate Masters,{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.
158,Dauthi Voidwalker,3/2 Creature - Dauthi Rogue,2,BB,R,NM,10.99,Modern Horizons 2,"Shadow If a card would be put into an opponent's graveyard from anywhere, instead exile it with a void counter on it.{T}, Sacrifice Dauthi Voidwalker: Choose an exiled card an opponent owns with a void counter on it. You may play it this turn without paying its mana cost."
159,"Urza, Lord High Artificer",1/4 Legendary Creature - Human Artificer,4,UU,M,NM,44.99,Modern Horizons,"When Urza, Lord High Artificer enters the battlefield, create a 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control.""Tap an untapped artifact you control: Add {U}.{5}: Shuffle your library, then exile the top card. Until end of turn, you may play that card without paying its mana cost."
160,"Gix, Yawgmoth Praetor",3/3 Legendary Creature - Phyrexian Praetor,3,BB,M,NM,21.99,The Brothers' War,"Whenever a creature deals combat damage to one of your opponents, its controller may pay 1 life. If they do, they draw a card.{4}{B}{B}{B}, Discard X cards: Exile the top X cards of target opponent's library. You may play lands and cast spells from among cards exiled this way without paying their mana costs."
161,Null Rod,Artifact,2,,R,EX,80.74,Weatherlight,Activated abilities of artifacts can't be played.
162,Serra Paragon,3/4 Creature - Angel,4,WW,M,NM,13.99,Dominaria United,"FlyingOnce during each of your turns, you may play a land from your graveyard or cast a permanent spell with mana value 3 or less from your graveyard. If you do, it gains ""When this permanent is put into a graveyard from the battlefield, exile it and you gain 2 life."""
163,Chains of Mephistopheles,Enchantment,2,B,R,EX,1349.99,Legends,"If a player would draw a card except the first one they draw in each of their draw steps, that player discards a card instead. If the player discards a card this way, they draw a card. If the player doesn't discard a card this way, they mill a card."
164,Dockside Extortionist,1/2 Creature - Goblin Pirate,2,R,M,NM,69.99,Double Masters 2022,"When Dockside Extortionist enters the battlefield, create X Treasure tokens, where X is the number of artifacts and enchantments your opponents control. "
165,Solitude (Borderless),3/2 Creature - Elemental Incarnation,5,WW,M,NM,59.99,Modern Horizons 2 Variants,"FlashLifelinkWhen Solitude enters the battlefield, exile up to one other target creature. That creature's controller gains life equal to its power.Evoke - Exile a white card from your hand."
166,Krark-Clan Ironworks,Artifact,4,,U,EX,28.04,Fifth Dawn,Sacrifice an artifact: Add {2} to your mana pool.
167,"Nykthos, Shrine to Nyx (Premier Play)",Legendary Land,0,,S,NM,34.99,Promotional,"{T}: Add {C}.{2}, {T}: Choose a color. Add an amount of mana of that color equal to your devotion to that color."
168,Copy Artifact,Enchantment,2,U,R,EX,46.74,3rd Edition,"You may have Copy Artifact enter the battlefield as a copy of any artifact on the battlefield, except it's an enchantment in addition to its other types."
169,Chalice of the Void,Artifact,2,XX,R,NM,74.99,Mirrodin,"Chalice of the Void enters the battlefield with X charge counters on it.Whenever a player casts a spell with converted mana cost equal to the number of charge counters on Chalice of the Void, counter that spell."
170,Stoneforge Mystic,1/2 Creature - Kor Artificer,2,W,R,EX,32.29,Worldwake,"When Stoneforge Mystic enters the battlefield, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle your library.{1}{W}, {T}: You may put an Equipment card from your hand onto the battlefield."
171,Blood Crypt (Borderless),Land - Swamp Mountain,0,,R,NM,57.99,Unfinity Variants,"As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
172,Swan Song,Instant,1,U,R,NM,16.99,Theros,"Counter target enchantment, instant, or sorcery spell. Its controller puts a 2/2 blue Bird creature token with flying onto the battlefield."
173,"Boseiju, Who Endures (Borderless)",Legendary Land,0,,R,NM,47.99,Kamigawa: Neon Dynasty Variants,"{T}: Add {G}. - {1}{G}, Discard Boseiju, Who Endures: Destroy target artifact, enchantment, or nonbasic land an opponent controls. That player may search their library for a land card with a basic land type, put it onto the battlefield, then shuffle. This ability costs {1} less to activate for each legendary creature you control."
174,Wheel of Fortune,Sorcery,3,R,R,EX,2239.99,Beta,"Each player discards their hand, then draws seven cards."
175,Imperial Seal (Foil Etched),Sorcery,1,B,M,NM,199.99,Double Masters 2022 Variants,"Search your library for a card, then shuffle and put that card on top. You lose 2 life."
176,Chalice of the Void,Artifact,2,XX,S,NM,69.99,Time Spiral Remastered,"Chalice of the Void enters the battlefield with X charge counters on it.Whenever a player casts a spell with converted mana cost equal to the number of charge counters on Chalice of the Void, counter that spell."
177,Cavern of Souls,Land,0,,M,NM,64.99,Double Masters 2022,"As Cavern of Souls enters the battlefield, choose a creature type.{T}: Add {C}.{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered."
178,Painter's Servant,1/3 Artifact Creature - Scarecrow,2,,R,NM,89.99,Shadowmoor,"As Painter's Servant enters the battlefield, choose a color.All cards that aren't on the battlefield, spells, and permanents are the chosen color in addition to their other colors."
179,Heroic Intervention,Instant,2,G,R,NM,18.99,Aether Revolt,Permanents you control gain hexproof and indestructible until end of turn.
180,Unwinding Clock,Artifact,4,,R,NM,5.49,The Brothers' War Retro Artifacts,Untap all artifacts you control during each other player's untap step.
181,Demonic Tutor,Sorcery,2,B,R,NM,44.99,Ultimate Masters,"Search your library for a card, put that card into your hand, then shuffle your library."
182,Gemstone Caverns,Legendary Land,0,,R,EX,49.29,Time Spiral,"If Gemstone Caverns is in your opening hand and you're not playing first, you may begin the game with Gemstone Caverns on the battlefield with a luck counter on it. If you do, exile a card from your hand.{T}: Add {C} to your mana pool. If Gemstone Caverns has a luck counter on it, instead add one mana of any color to your mana pool."
183,Cavern of Souls (Borderless),Land,0,,M,NM,79.99,Double Masters 2022 Variants,"As Cavern of Souls enters the battlefield, choose a creature type.{T}: Add {C}.{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered."
184,Chrome Mox,Artifact,0,,M,NM,89.99,Double Masters," - When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand.{T}: Add one mana of any of the exiled card's colors."
185,Phyrexian Fleshgorger,7/5 Artifact Creature - Phyrexian Wurm,7,,M,NM,18.99,The Brothers' War,"Prototype {1}{B}{B} - 3/3Menace, lifelinkWard - Pay life equal to Phyrexian Fleshgorger's power."
186,Plains (Guru Land),Basic Land - Plains,0,,S,EX,476.99,Promotional,
187,Urza's Incubator,Artifact,3,,R,EX,42.49,Urza's Destiny,"As Urza's Incubator enters the battlefield, choose a creature type.Creature spells of the chosen type cost {2} less to cast."
188,Sunbaked Canyon,Land,0,,R,NM,19.99,Modern Horizons,"{T}, Pay 1 life: Add {R} or {W}.{1}, {T}, Sacrifice Sunbaked Canyon: Draw a card."
189,Crypt Ghast,2/2 Creature - Spirit,4,B,R,NM,17.99,Gatecrash,"Extort Whenever you tap a Swamp for mana, add {B} to your mana pool. "
190,Chromatic Lantern,Artifact,3,,R,NM,5.49,The Brothers' War Retro Artifacts,Lands you control have “{T}: Add one mana of any color.”{T}: Add one mana of any color.
191,Eureka,Sorcery,4,GG,R,EX,584.99,Legends,"Starting with you, each player may put a permanent card from their hand onto the battlefield. Repeat this process until no one puts a card onto the battlefield."
192,Personal Tutor,Sorcery,1,U,U,EX,116.99,Portal,"Search your library for a sorcery card and reveal that card. Shuffle your library, then put the card on top of it."
193,Hallowed Fountain,Land - Plains Island,0,,R,NM,12.99,Ravnica Allegiance,"As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
194,Phyrexian Altar,Artifact,3,,R,NM,32.99,Double Masters 2022,Sacrifice a creature: Add one mana of any color.
195,Replenish,Sorcery,4,W,R,VG,71.24,Urza's Destiny,Return all enchantment cards from your graveyard to the battlefield. 
196,Training Grounds,Enchantment,1,U,R,NM,34.99,Rise of the Eldrazi,Activated abilities of creatures you control cost up to {2} less to activate. This effect can't reduce the mana in that cost to less than one mana.
197,Scrubland,Land - Plains Swamp,0,,R,EX,679.99,Unlimited,{T}: Add {B} or {W}.
198,Blood Crypt,Land - Swamp Mountain,0,,R,NM,19.99,Ravnica Allegiance,"As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
199,Demonic Tutor (Duel Deck: Divine Vs. Demonic),Sorcery,2,B,U,NM,42.99,Mystery Booster/The List,"Search your library for a card, put that card into your hand, then shuffle your library."
200,Liliana of the Veil,Legendary Planeswalker - Liliana,3,BB,M,EX,36.54,Innistrad,[+1]: Each player discards a card.[-2]: Target player sacrifices a creature.[-6]: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.|3|
201,Ancient Copper Dragon (Showcase),6/5 Creature - Elder Dragon,6,RR,M,NM,64.99,Commander Legends: Battle for Baldur's Gate Variants,"FlyingWhenever Ancient Copper Dragon deals combat damage to a player, roll a d20. You create a number of Treasure tokens equal to the result."
202,Force of Will,Instant,5,UU,M,NM,109.99,Eternal Masters,You may pay 1 life and exile a blue card from your hand rather than pay Force of Will's mana cost.Counter target spell.
203,"Yavimaya, Cradle of Growth",Legendary Land,0,,R,NM,10.99,Modern Horizons 2,Each land is a Forest in addition to its other land types.
204,"Teferi, Temporal Pilgrim (Borderless)",Legendary Planeswalker - Teferi,5,UU,M,NM,15.99,The Brothers' War Variants,"Whenever you draw a card, put a loyalty counter on Teferi, Temporal Pilgrim.[0]: Draw a card.[-2]: Create a 2/2 blue Spirit creature token with vigilance and ""Whenever you draw a card, put a +1/+1 counter on this creature.""[-12]: Target opponent chooses a permanent they control and returns it to its owner's hand. Then they shuffle each nonland permanent they control into its owner's library.|4|"
